Category,URL,회사명,타이틀
백엔드,https://www.wanted.co.kr/wd/93617,한인플레이스,"모바일 백엔드/서버개발(nodeJS , TypeScript)"
백엔드,https://www.wanted.co.kr/wd/172371,스탠바이랩,백엔드 엔지니어(병역특례/산업기능요원/보충역/전직)
백엔드,https://www.wanted.co.kr/wd/168332,패스트뷰,[100억↑투자] 백엔드 개발자 (5년 이상)
백엔드,https://www.wanted.co.kr/wd/143837,넥슨코리아(NEXON),[인텔리전스랩스] 게임 이상탐지 백엔드 개발자 (Java)
백엔드,https://www.wanted.co.kr/wd/115441,지엔에이컴퍼니,[플레이오] Python 백엔드 개발
백엔드,https://www.wanted.co.kr/wd/173081,프렉스코리아(Presto),Senior Software Engineer (Backend)
백엔드,https://www.wanted.co.kr/wd/178426,루브릭랩스,백엔드 개발자 (3년 이상)
백엔드,https://www.wanted.co.kr/wd/18295,뮤즈라이브(Muzlive),백엔드 엔지니어 (Python/Django)
백엔드,https://www.wanted.co.kr/wd/191969,두리번,백엔드 개발자
백엔드,https://www.wanted.co.kr/wd/42236,스와치온(SwatchOn),백엔드 개발자
백엔드,https://www.wanted.co.kr/wd/181836,토탈미디어그램,백엔드 개발자
백엔드,https://www.wanted.co.kr/wd/156290,아정네트웍스,강남 연구실 웹 백엔드 개발자
백엔드,https://www.wanted.co.kr/wd/170451,아파트아이,JAVA 백엔드 개발자 (대리급)
백엔드,https://www.wanted.co.kr/wd/152113,와이어드컴퍼니,플랫폼팀 백엔드 엔지니어
백엔드,https://www.wanted.co.kr/wd/170347,비밀리,백엔드 서버 개발자
백엔드,https://www.wanted.co.kr/wd/79771,데이터뱅크,시니어 백엔드 개발자
백엔드,https://www.wanted.co.kr/wd/189660,약손명가헬스케어,백엔드/프론트엔드 개발 팀장
백엔드,https://www.wanted.co.kr/wd/154703,클레온,[100억↑투자] 서버 백엔드 개발자 Server Developer
백엔드,https://www.wanted.co.kr/wd/178903,뷰브레인헬스케어,파이썬 백엔드 개발자
백엔드,https://www.wanted.co.kr/wd/170427,큐알에스티에이아이,백엔드 엔지니어 (Python)
백엔드,https://www.wanted.co.kr/wd/62599,세컨신드롬,[100억↑투자] [미니창고 다락] 백엔드 개발자
백엔드,https://www.wanted.co.kr/wd/142180,롯데헬스케어,서비스 백엔드 엔지니어 (개발 리더)
백엔드,https://www.wanted.co.kr/wd/105491,안티그래비티,서비스 플랫폼 백엔드 개발자
백엔드,https://www.wanted.co.kr/wd/192515,더블유젯소프트,Node.js 백엔드 개발자
백엔드,https://www.wanted.co.kr/wd/153378,디엔엑스,백엔드 개발자
백엔드,https://www.wanted.co.kr/wd/79904,올림플래닛(OLIM PLANET),백엔드 개발
백엔드,https://www.wanted.co.kr/wd/186592,더즌(dozn),시스템개발팀 백엔드 개발
