Category,URL,회사명,타이틀
데이터,https://www.wanted.co.kr/wd/184145,컬리,[컬리] 데이터서비스개발 데이터 엔지니어
데이터,https://www.wanted.co.kr/wd/106446,브레인커머스,[잡플래닛] 데이터 분석가 (3년 이상)
데이터,https://www.wanted.co.kr/wd/136659,한국신용데이터(KCD),[2600억↑투자] Design Lead
데이터,https://www.wanted.co.kr/wd/179360,아이지에이웍스(IGAWorks),[500억↑투자] 데이터 엔지니어
데이터,https://www.wanted.co.kr/wd/191896,스칼라데이터,Product Manager
데이터,https://www.wanted.co.kr/wd/176480,Electronic Arts Korea (EA Korea),[Data and Analytics] Senior Data Analyst
데이터,https://www.wanted.co.kr/wd/189434,레오버넷,글로벌 대행사 데이터 & 디지털 마케팅 기획 (4년~9년차)
데이터,https://www.wanted.co.kr/wd/183578,인핸스(Enhans),[100억↑투자] Business Analyst 비지니스 데이터 분석가(3년 이상)
데이터,https://www.wanted.co.kr/wd/182553,한국부동산데이터연구소,[내집스캔] 개발 리드 팀원
데이터,https://www.wanted.co.kr/wd/97792,와이어드컴퍼니,플랫폼팀 데이터 사이언티스트
데이터,https://www.wanted.co.kr/wd/185961,카카오뱅크(kakaobank),데이터베이스 관리자 (MySQL)
데이터,https://www.wanted.co.kr/wd/185346,지에스리테일(GS리테일),TA (데이터사이언스)
데이터,https://www.wanted.co.kr/wd/191536,한국신용데이터(KCD),[2600억↑투자] Data Engineer (DW & Mart)
데이터,https://www.wanted.co.kr/wd/179347,당근마켓,데이터 분석가 - 검색
데이터,https://www.wanted.co.kr/wd/180746,콜랩코리아,[DATA팀] Data Analyst
데이터,https://www.wanted.co.kr/wd/186844,윙크스톤파트너스,(핀테크) 데이터 엔지니어
데이터,https://www.wanted.co.kr/wd/182716,스칼라데이터,PO (Product Owner)
데이터,https://www.wanted.co.kr/wd/183068,비모소프트,데이터분석가 (2년 이상)
데이터,https://www.wanted.co.kr/wd/182336,오케이홀딩스,OK데이터시스템 IT (디지털채널 개발)
데이터,https://www.wanted.co.kr/wd/67271,컨택스츠아이오(NFTBank),데이터 엔지니어
데이터,https://www.wanted.co.kr/wd/184795,넷마블,마케팅 데이터 엔지니어
데이터,https://www.wanted.co.kr/wd/161548,포티투닷(42dot),Data Analyst
데이터,https://www.wanted.co.kr/wd/143758,이마고웍스,[100억↑투자] 데이터 파이프라인 개발자 (2년 이상)
데이터,https://www.wanted.co.kr/wd/92394,이글루코퍼레이션,서버 백엔드 개발 (빅데이터보안연구소)
데이터,https://www.wanted.co.kr/wd/158443,머큐리프로젝트,마케팅 데이터 분석가 (Marketing Data Scientist)
데이터,https://www.wanted.co.kr/wd/191674,에니아이(Aniai),Data Scientist
데이터,https://www.wanted.co.kr/wd/173286,엘엑스판토스(LX판토스),경영혁신부문 Data scientist
데이터,https://www.wanted.co.kr/wd/137348,넥슨코리아(NEXON),[기술본부] 플랫폼 데이터베이스 엔지니어
데이터,https://www.wanted.co.kr/wd/186889,테서,환자 데이터 기반 의료 플랫폼 서비스 기획자
데이터,https://www.wanted.co.kr/wd/26823,워트인텔리전스,데이터 엔지니어
데이터,https://www.wanted.co.kr/wd/153966,넷스루,데이터솔루션엔지니어링 수행 팀원_신입
데이터,https://www.wanted.co.kr/wd/122920,한국신용데이터(KCD),[2600억↑투자] Data Engineer
데이터,https://www.wanted.co.kr/wd/185327,한국신용데이터(KCD),"[2600억↑투자] Finance & Accounting Manager (재무회계 결산, 세무)"
데이터,https://www.wanted.co.kr/wd/188592,운칠기삼,"주니어 퍼포먼스 마케터 (광고, 데이터 분석)"
데이터,https://www.wanted.co.kr/wd/181973,무신사,Data Scientist(검색) (데이터프로덕트팀)
데이터,https://www.wanted.co.kr/wd/189383,인프랩,데이터 분석가 (개인화 추천 모델)
데이터,https://www.wanted.co.kr/wd/161017,파이널데이터,프로그램 개발자
데이터,https://www.wanted.co.kr/wd/174955,더블미디어,데이터 사이언티스트
데이터,https://www.wanted.co.kr/wd/192216,인터엑스,[서울] 데이터 분석가 (시계열)
데이터,https://www.wanted.co.kr/wd/191445,더블유클럽,데이터 엔지니어 (2년 이상)
데이터,https://www.wanted.co.kr/wd/180647,콴텍투자일임,금융 데이터 분석 전문가
데이터,https://www.wanted.co.kr/wd/118713,오늘앤파트너스,데이터베이스 백엔드 개발자
데이터,https://www.wanted.co.kr/wd/185760,에스투더블유(S2W),Data Engineer (데이터수집)
데이터,https://www.wanted.co.kr/wd/187974,에듀윌,DBA(데이터베이스관리자)
데이터,https://www.wanted.co.kr/wd/177490,하이퍼라운지,[100억↑투자] 데이터분석 및 검증 분야
데이터,https://www.wanted.co.kr/wd/111786,하나투어,빅데이터 엔지니어
데이터,https://www.wanted.co.kr/wd/181975,무신사,Data Scientist(추천) (데이터프로덕트팀)
데이터,https://www.wanted.co.kr/wd/183023,아템드메라키,[신입] 데이터 사이언티스트
데이터,https://www.wanted.co.kr/wd/121635,와이어드컴퍼니,플랫폼팀 데이터 엔지니어
데이터,https://www.wanted.co.kr/wd/119383,아템드메라키,데이터 사이언티스트
데이터,https://www.wanted.co.kr/wd/184339,알테어엔지니어링,데이터 분석 컨설턴트
데이터,https://www.wanted.co.kr/wd/127430,소프트포럼,데이터보안 개발자
데이터,https://www.wanted.co.kr/wd/147049,해줌,[100억↑투자] 데이터사이언티스트
데이터,https://www.wanted.co.kr/wd/81834,데이터라이즈,[100억↑투자] Data Engineer
데이터,https://www.wanted.co.kr/wd/167793,제주알마켓,"데이터 사이언티스트 (3년이상, 제주근무)"
데이터,https://www.wanted.co.kr/wd/179020,아이오크롭스,데이터 사이언티스트(비전/이미지)
데이터,https://www.wanted.co.kr/wd/107067,넥슨코리아(NEXON),[인텔리전스랩스] 탐지솔루션실 데이터 엔지니어
데이터,https://www.wanted.co.kr/wd/191443,더블유클럽,앱서비스 데이터분석가 (2년 이상)
데이터,https://www.wanted.co.kr/wd/180914,넛지헬스케어(캐시워크),데이터분석가 (병역특례_현역/보충역)
